epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,6886.35,0.93363,0.55924,1.00461,0.76374,0.74233,0.76917,0.35965,1.7406,0.83457,1.36417,7.525e-06,7.525e-06,7.525e-06
52,7113.04,0.93152,0.54426,1.01036,0.80808,0.72724,0.77503,0.36709,1.73025,0.81,1.35715,7.4755e-06,7.4755e-06,7.4755e-06
53,7199.32,0.90121,0.55739,0.99909,0.79988,0.72792,0.76987,0.36378,1.71694,0.82533,1.35265,7.426e-06,7.426e-06,7.426e-06
54,7292.37,0.93356,0.53279,1.00211,0.80871,0.73248,0.77284,0.36287,1.7325,0.8297,1.36361,7.3765e-06,7.3765e-06,7.3765e-06
55,7430.77,0.90927,0.54801,0.99309,0.79834,0.72525,0.76853,0.36372,1.7296,0.83772,1.35708,7.327e-06,7.327e-06,7.327e-06
56,7556.23,0.90268,0.54453,0.99344,0.83394,0.74067,0.77514,0.36132,1.73187,0.8339,1.35074,7.2775e-06,7.2775e-06,7.2775e-06
57,7681.29,0.93491,0.55469,1.00348,0.8194,0.72909,0.7716,0.35941,1.751,0.84475,1.36183,7.228e-06,7.228e-06,7.228e-06
58,7766.37,0.90785,0.53596,0.99068,0.82652,0.70921,0.7677,0.36221,1.73552,0.84314,1.36329,7.1785e-06,7.1785e-06,7.1785e-06
59,7926.22,0.90492,0.5447,0.99638,0.79176,0.73763,0.76892,0.35708,1.73221,0.87264,1.36723,7.129e-06,7.129e-06,7.129e-06
60,8024.56,0.89854,0.54261,0.99934,0.7736,0.74026,0.77219,0.36002,1.72706,0.86526,1.36126,7.0795e-06,7.0795e-06,7.0795e-06
61,8121.52,0.88769,0.51514,0.98453,0.78462,0.72631,0.76466,0.35965,1.72741,0.85144,1.37426,7.03e-06,7.03e-06,7.03e-06
62,8228.81,0.9004,0.53401,0.99445,0.83058,0.67763,0.75498,0.35409,1.72083,0.86233,1.36994,6.9805e-06,6.9805e-06,6.9805e-06
63,8411.23,0.90781,0.52273,0.9975,0.78219,0.72628,0.75211,0.36282,1.72075,0.86298,1.36637,6.931e-06,6.931e-06,6.931e-06
64,8574.27,0.88899,0.5311,0.97656,0.80211,0.72026,0.76686,0.36465,1.72272,0.83942,1.35639,6.8815e-06,6.8815e-06,6.8815e-06
